"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","firing_rate"
"3",0.0422146009409,81.3945454545,0.162729374903,1.08975,2.33642666667,1.027302,-48.90625,-51.0833346049,-55.8000022888,289.12208,0.027555,1.086395,2.33322833333,1.023475,33.28125,38.8229179382,29.0875011444,266.406327486,0.0415404625237,1.691744,-73.3375,110,32.8333333333,469.999969482,1.085825,2.332735,1.023001,-38.1562538147,-40.1666692098,-46.1250007629,1.099575,2.36177833333,1.691744,-52.09375,-57.6145858765,-73.3375,4.20848539986,4.27415082237,4.0963716292,-99.0937576294,-72.1746749878,"Cux2-CreERT2",84.8875034332,12.2858355485
"5",0.542357967303,307.1,0.155346607523,1.08516,8.53670666667,1.02542666667,-47,-46.9270858765,-55.0937525431,209.971936,0.03378,1.08298,8.53443333333,1.02356,40.7812538147,42.7291692098,42.3229179382,136.562421918,0.132638186216,1.1305,-81.2500050863,210,187.833333333,860,1.08244,8.53384666667,1.02312,-33.96875,-33.7604179382,-46.9375025431,1.08612,8.55396666667,1.1305,-47.8750038147,-49.7291679382,-81.2500050863,2.71890141224,2.52813735284,3.06070724707,-95.5000076294,-80.0506210327,"Ntsr1-Cre_GN220",97.4166704814,3.25626831651
"9",0.025949952508,79.6,0.164054054054,1.18334,4.31303333333,1.02487,-47.4375038147,-49.3854192098,-50.7812519073,148.06432,0.04384,1.18142,4.31129333333,1.02339,43,44.5104166667,44.21875,153.749927878,0.103811219335,1.50935,-68.9218788147,70,82.25,0,1.181,4.31088,1.02301,-33.1250038147,-33.5104192098,-48.2812519073,1.2207,4.33916666667,1.50935,-56.5625038147,-55.9791692098,-68.9218788147,3.3893320895,3.23845608594,3.6690064788,-85.2187576294,-68.5057373047,"Scnn1a-Tg3-Cre",95.0000019073,12.5628140704
"11",0.251829867569,70.105,0.0900793674157,1.08307,5.65970166667,1.025854,-50.3125038147,-50.8229179382,-54.6375030518,190.866704,0.029535,1.079695,5.65520666667,1.023478,25.7500019073,26.8020846049,26.3000015259,170.625045896,0.0146091291681,1.57757,-75.2062545776,150,115.875,780,1.079065,5.65451666667,1.022943,-43.3125,-38.6875025431,-49.9000030518,1.73933,5.68037666667,1.57757,-55.7812538147,-56.8125025431,-75.2062545776,2.84228464688,2.53823130443,2.91999029842,-94.0000076294,-75.3428726196,"Rbp4-Cre_KL100",80.9375045776,14.264317809
"24",0.0154623126733,71.5476923077,0.141274452748,1.23948,5.74135333333,1.025428,-48.5312538147,-46.1770833333,-51.8750022888,169.609664,0.05996,1.23638,5.73885333333,1.02346,32,38.9791666667,36.8625022888,123.906247318,0.0693726539612,1.605676,-78.3750045776,100,117.708328247,1080,1.23594,5.73842666667,1.023104,-38.21875,-35.6354166667,-45.3062515259,1.27496,5.78220666667,1.605676,-59.2500038147,-55.6458333333,-78.3750045776,3.82407298378,3.99762224157,3.83065047134,-92.0625,-77.8588638306,"Scnn1a-Tg3-Cre",88.7375045776,13.9766911796
"26",0.0238049459206,64.0257142857,0.192937236984,1.15694,4.25414,1.024895,-47.84375,-49.3437525431,-50.8593769073,250.077936,0.05254,1.15528,4.25242666667,1.023525,45.3437538147,44.7812512716,45.3359394073,133.437380195,0.0483482480049,1.53851,-81.1953125,110,80.7916666667,0,1.15486,4.25197333333,1.023155,-37.40625,-36.4270846049,-47.9765644073,1.18186,4.29098,1.53851,-52.4375038147,-53.7812525431,-81.1953125,3.56934188396,3.42686631551,4.01802602132,-96.5,-80.5925750732,"Nr5a1-Cre",96.1953163147,15.6187246196
"29",0.026013695361,84.2527272727,0.174621213842,1.2,8.54379333333,1.02574,-46.90625,-46.9166679382,-53.8250015259,162.225472,0.04248,1.1975,8.54131333333,1.023672,33.3750038147,37.34375,35.9000022888,160.156279802,0.16462264955,1.117364,-76.8000045776,170,188,0,1.19684,8.54063333333,1.023168,-33.65625,-32.0625006358,-46.5312515259,1.22254,8.57222666667,1.117364,-48.03125,-49.7083346049,-76.8000045776,2.45921838308,2.37927339508,2.88725853272,-93.9687576294,-76.3359832764,"Ntsr1-Cre_GN220",89.7250038147,11.8690519864
"31",0.0423226332033,83.7481818182,0.190044256197,1.20621,5.43078166667,1.02513166667,-44.28125,-42.7500038147,-50.9895846049,243.125056,0.054805,1.2022,5.42896666667,1.02339666667,18.78125,32.5104179382,21.3697926203,187.343835831,0.0894831418991,1.53387083333,-79.255212148,90,110.208333333,758.333384196,1.201635,5.42846833333,1.0229425,-36.46875,-34.0520833333,-41.8593775431,1.25133,5.46941166667,1.53387083333,-55.7812538147,-53.239587148,-79.255212148,2.67899593469,2.75943401093,2.67732104721,-96.5312576294,-78.4394836426,"Rbp4-Cre_KL100",72.3593772252,11.9405577326
"32",0.0311050607805,62.4966666667,0.285904390113,1.269505,2.4180525,1.02511,-52.09375,-51.4375038147,-54.0437530518,338.62912,0.041805,1.267385,2.415935,1.023375,39.6875038147,42.390625,38.1875022888,339.620679617,0.0263885930181,1.719038,-74.9750045776,30.0000019073,34.8749990463,450,1.2669,2.4154475,1.02296,-42.8125038147,-42.1718769073,-48.4062507629,1.3053,2.44975,1.719038,-57.5,-55.9687519073,-74.9750045776,3.70159492503,3.87975891275,3.67776544233,-101.906257629,-72.08177948,"Slc17a6-IRES-Cre",92.2312553406,16.0008533788
"39",0.00915259214489,55.5352941176,0.278333333333,1.21902,3.03753333333,1.02632,-51.5000038147,-50.3750012716,-51.7395858765,190.132208,0.02666,1.2154,3.0343,1.02359333333,42.5625038147,46.4583346049,41.1458346049,150.156363845,0.0869927704334,1.84056666667,-66.3125025431,50,50.3333333333,300,1.21486,3.03375333333,1.02313333333,-46.0000038147,-45.4687525431,-47.0208346049,1.2419,3.07524666667,1.84056666667,-55.84375,-54.2916692098,-66.3125025431,4.04313819034,4.36522318077,4.13871992427,-83.9375,-66.0966186523,"Ctgf-T2A-dgCre",92.8854204814,18.0065671009
